index,importance,sport,frequency,how_alone,how_small_groups,how_big_groups,independence,interdependence,sex,age,education
134,7,Martial Arts Tricking,5,False,True,False,4,5.83333333333333,m,26,7
135,7,Martial Arts Tricking,5,True,True,True,5.41666666666667,6.58333333333333,m,25,5
137,7,Basketball,4,True,True,True,4.16666666666667,5.91666666666667,m,27,8
139,7,Parkour,7,True,True,False,4.66666666666667,5.58333333333333,m,18,4
140,7,Parkour,6,False,True,False,4.83333333333333,5.83333333333333,m,19,7
142,7,Freerunning,3,False,True,False,2.75,2.08333333333333,m,18,9
143,7,Parkour,6,False,False,True,5.08333333333333,5.91666666666667,m,16,9
144,7,Soccer,5,True,False,False,4.91666666666667,6.33333333333333,m,25,6
150,7,Dance,8,True,True,True,3.16666666666667,6.5,m,17,4
151,7,Parkour,5,True,False,False,4.58333333333333,5,m,17,9
154,7,Freerunning,7,False,True,True,5.08333333333333,5.58333333333333,m,26,8
155,6,Parkour,5,False,True,False,4.66666666666667,6.16666666666667,f,20,7
158,7,Parkour,6,True,True,True,3.83333333333333,5.58333333333333,m,26,8
160,6,Yoga,3,False,True,False,4.08333333333333,5.58333333333333,f,24,5
161,6,Parkour,5,True,True,True,3.5,4.75,m,17,9
162,7,Parkour,4,False,True,False,5.5,5.75,m,16,4
164,7,Parkour,5,False,True,True,4.33333333333333,4.83333333333333,m,20,7
171,5,Freerunning,4,False,True,False,5.08333333333333,5.08333333333333,m,17,4
172,7,Parkour,4,False,True,False,5.58333333333333,5.58333333333333,m,24,8
173,7,Parkour,6,False,True,False,4.16666666666667,5.33333333333333,m,21,7
175,5,Football,4,True,True,False,4.75,5.75,m,18,3
176,7,Parkour,8,False,True,False,4.91666666666667,6,m,14,9
177,7,Parkour,8,False,True,False,4.5,5.75,m,23,7
178,6,Parkour,4,False,True,False,4.91666666666667,4.83333333333333,m,15,9
180,7,Parkour,6,False,True,False,5.08333333333333,5,m,18,7
182,7,Parkour,4,False,True,False,5.08333333333333,5.66666666666667,m,14,9
183,7,Parkour,3,True,True,False,5.66666666666667,5,m,17,9
184,6,Parkour,4,False,True,False,4.41666666666667,5.25,m,23,7
188,7,Freerunning,7,True,True,False,5,6.25,m,16,4
189,6,Parkour,4,False,False,True,4.16666666666667,5.41666666666667,m,16,9
191,7,Parkour,5,True,True,False,4.5,5.66666666666667,m,28,8
192,7,Parkour,5,False,True,True,4.16666666666667,5.66666666666667,m,21,7
194,5,Dance,1,False,False,False,4.25,3.58333333333333,f,35,8
196,6,Parkour,5,False,True,False,5.16666666666667,5.5,m,19,7
199,7,Parkour,6,False,True,False,4.33333333333333,5.08333333333333,m,23,8
200,7,Parkour,5,False,True,False,4.16666666666667,5,m,17,9
202,7,Parkour,4,False,True,False,5,4.66666666666667,m,22,5
203,7,Parkour,4,False,True,False,4.41666666666667,4.41666666666667,m,16,9
205,7,Martial Arts Tricking,8,True,False,True,5.33333333333333,5.83333333333333,m,24,7
206,6,Parkour,4,False,True,False,5.25,5.83333333333333,m,15,9
209,6,Freerunning,3,False,True,True,3.58333333333333,5.33333333333333,m,18,9
213,6,Parkour,5,False,True,False,3.33333333333333,5.91666666666667,m,24,8
215,7,Parkour,6,True,True,False,6.5,6.91666666666667,m,17,7
216,7,Martial Arts Tricking,8,True,True,True,4.58333333333333,5.33333333333333,m,24,1
219,6,Parkour,5,False,True,False,4.33333333333333,5.41666666666667,f,20,7
222,7,Parkour,6,False,False,False,5.25,6.41666666666667,f,17,4
223,7,Parkour,5,False,True,False,4.66666666666667,5.83333333333333,f,19,4
224,7,Parkour,6,True,True,False,4.66666666666667,5.16666666666667,m,24,8
